Date,Open,High,Low,Close,Volume
2009-01-02,8772.25,9080.57,8725.10,9034.69,-
2009-01-05,9027.13,9093.47,8841.70,8952.89,-
2009-01-06,8954.57,9175.19,8868.07,9015.10,-
2009-01-07,8996.94,8996.94,8690.45,8769.70,-
2009-01-08,8769.94,8807.14,8593.52,8742.46,-
2009-01-09,8738.80,8800.45,8541.75,8599.18,-
2009-01-12,8599.26,8653.97,8391.85,8473.97,-
2009-01-13,8474.61,8584.68,8325.59,8448.56,-
2009-01-14,8446.01,8446.01,8097.95,8200.14,-
2009-01-15,8196.24,8326.06,7949.65,8212.49,-
2009-01-16,8215.67,8424.59,8086.01,8281.22,-
2009-01-20,8279.63,8309.02,7920.66,7949.09,-
2009-01-21,7949.17,8286.40,7890.63,8228.10,-
2009-01-22,8224.43,8239.33,7925.75,8122.80,-
2009-01-23,8108.79,8187.88,7856.86,8077.56,-
2009-01-26,8078.04,8278.12,7971.15,8116.03,-
2009-01-27,8117.39,8264.10,8042.60,8174.73,-
2009-01-28,8175.93,8446.33,8175.93,8375.45,-
2009-01-29,8373.06,8373.06,8092.14,8149.01,-
2009-01-30,8149.01,8243.95,7924.88,8000.86,-
2009-02-02,8000.62,8053.43,7796.17,7936.83,-
2009-02-03,7936.99,8157.13,7855.19,8078.36,-
2009-02-04,8070.32,8197.04,7899.79,7956.66,-
2009-02-05,7954.83,8138.65,7811.70,8063.07,-
2009-02-06,8056.38,8360.07,8044.03,8280.59,-
2009-02-09,8281.38,8376.56,8137.70,8270.87,-
2009-02-10,8269.36,8293.17,7835.83,7888.88,-
2009-02-11,7887.05,8042.36,7820.14,7939.53,-
2009-02-12,7931.97,7956.02,7662.04,7932.76,-
2009-02-13,7933.00,8005.96,7811.38,7850.41,-
2009-02-17,7845.63,7845.63,7502.59,7552.60,-
2009-02-18,7546.35,7661.56,7451.37,7555.63,-
2009-02-19,7555.23,7679.01,7420.63,7465.95,-
2009-02-20,7461.49,7500.44,7226.29,7365.67,-
2009-02-23,7365.99,7477.10,7092.64,7114.78,-
2009-02-24,7115.34,7396.34,7077.35,7350.94,-
2009-02-25,7349.58,7442.13,7123.94,7270.89,-
2009-02-26,7269.06,7451.13,7135.25,7182.08,-
2009-02-27,7180.97,7244.61,6952.06,7062.93,-
2009-03-02,7056.48,7056.48,6736.69,6763.29,-
2009-03-03,6764.81,6922.59,6661.74,6726.02,-
2009-03-04,6726.50,7012.19,6715.11,6875.84,-
2009-03-05,6874.01,6874.01,6531.28,6594.44,-
2009-03-06,6595.16,6776.44,6443.27,6626.94,-
2009-03-09,6625.74,6758.44,6440.08,6547.05,-
2009-03-10,6547.01,6951.50,6547.01,6926.49,-
2009-03-11,6923.13,7078.22,6804.55,6930.40,-
2009-03-12,6932.39,7198.25,6840.79,7170.06,-
