Date,Open,High,Low,Close,Volume
2009-01-02,29.50,30.35,29.50,30.35,45600
2009-01-05,30.62,30.62,30.15,30.30,56600
2009-01-06,31.58,31.62,31.00,31.35,113900
2009-01-07,31.86,31.86,30.86,30.99,9400
2009-01-08,30.91,31.27,30.90,31.27,14600
2009-01-09,31.61,32.09,31.59,31.90,30800
2009-01-12,32.10,32.36,31.53,32.36,44900
2009-01-13,31.18,32.00,31.18,32.00,58500
2009-01-14,32.57,32.59,30.25,31.00,52700
2009-01-15,30.28,32.75,30.28,31.49,19800
2009-01-16,31.57,32.35,31.55,32.04,35000
2009-01-20,31.67,31.85,30.80,30.80,38100
2009-01-21,30.91,31.58,30.91,31.20,20300
2009-01-22,31.45,32.00,31.21,32.00,17000
2009-01-23,30.84,32.48,30.83,32.48,24400
2009-01-26,32.93,32.95,32.10,32.90,28400
2009-01-27,32.40,33.45,32.40,33.30,50300
2009-01-28,33.75,33.92,33.44,33.78,20900
2009-01-29,35.20,35.20,33.34,33.79,313700
2009-01-30,34.00,34.00,33.36,33.65,148100
2009-02-02,32.97,33.43,32.60,33.05,116900
2009-02-03,33.55,33.77,33.23,33.29,90800
2009-02-04,34.35,34.51,33.62,33.69,67800
2009-02-05,33.64,34.73,33.64,34.73,107300
2009-02-06,35.28,37.11,34.97,35.69,129700
2009-02-09,35.40,36.18,35.40,36.16,132100
2009-02-10,36.10,37.62,34.79,35.27,239400
2009-02-11,35.67,35.67,34.95,35.30,206000
2009-02-12,35.65,36.36,35.23,36.36,118100
2009-02-13,36.37,36.67,35.89,36.18,109200
2009-02-17,35.50,35.74,34.78,35.25,101500
2009-02-18,35.25,35.50,34.93,35.35,69000
2009-02-19,35.46,35.46,34.59,34.66,41700
2009-02-20,33.58,34.00,33.01,33.72,123300
2009-02-23,33.75,33.89,32.57,33.18,204600
2009-02-24,32.91,34.16,32.91,33.83,149500
2009-02-25,33.75,34.10,33.50,33.70,35700
2009-02-26,34.75,34.75,33.30,33.30,75700
2009-02-27,33.22,33.50,32.68,33.50,97900
2009-03-02,32.82,32.82,30.25,31.28,166000
2009-03-03,32.24,32.24,30.52,30.70,140000
2009-03-04,31.20,32.12,31.06,31.88,91000
2009-03-05,31.60,31.60,30.37,30.75,76600
2009-03-06,30.73,31.88,30.02,31.88,96200
2009-03-09,32.24,32.24,30.83,31.04,30600
2009-03-10,31.32,32.71,31.31,32.63,177500
2009-03-11,33.10,33.10,32.14,32.62,85500
2009-03-12,32.49,32.89,32.12,32.80,204900
2009-03-13,33.25,33.25,32.90,33.15,91600
2009-03-16,33.68,35.02,33.50,33.61,128100
2009-03-17,33.89,33.90,33.59,33.85,155300
2009-03-18,33.77,34.50,33.38,33.94,247200
2009-03-19,34.45,35.17,34.00,34.10,82600
2009-03-20,34.43,34.43,33.81,33.81,128000
2009-03-23,35.99,35.99,33.50,35.24,56300
2009-03-24,35.40,35.95,35.06,35.28,241300
2009-03-25,35.97,36.00,35.28,35.56,285700
2009-03-26,36.29,36.29,35.41,35.85,204600
2009-03-27,35.97,35.99,35.39,35.48,142500
2009-03-30,35.11,36.00,33.95,34.21,215300
2009-03-31,34.40,35.19,33.84,34.52,121300
2009-04-01,34.47,34.65,34.22,34.44,171000
2009-04-02,34.77,44.18,34.77,35.48,160000
2009-04-03,35.99,36.49,35.00,35.25,118600
2009-04-06,35.30,35.75,34.66,35.05,76700
2009-04-07,34.38,34.97,34.38,34.90,165900
2009-04-08,34.91,35.28,34.90,35.11,38700
2009-04-09,35.51,36.24,35.51,36.15,64000
2009-04-13,36.31,36.68,35.69,36.68,233100
2009-04-14,37.00,37.24,36.40,36.77,364800
2009-04-15,37.06,37.06,36.42,36.71,70800
2009-04-16,37.24,37.60,36.78,37.43,178700
2009-04-17,38.10,38.10,37.00,37.16,107700
2009-04-20,37.59,37.59,36.02,36.11,71200
2009-04-21,36.39,36.45,35.74,36.37,71800
2009-04-22,36.30,37.02,36.29,36.70,56100
2009-04-23,36.64,37.09,36.48,36.89,67200
2009-04-24,37.05,37.61,36.47,36.71,98600
2009-04-27,35.78,36.59,35.23,35.25,73000
2009-04-28,35.00,35.54,34.75,35.45,156700
2009-04-29,35.49,37.33,35.49,37.20,90600
2009-04-30,37.45,38.12,36.51,36.97,107000
2009-05-01,36.97,37.91,36.52,37.52,95800
2009-05-04,37.25,38.51,37.04,38.37,137000
2009-05-05,39.18,39.18,37.50,38.67,205900
2009-05-06,39.15,39.15,38.55,39.10,101200
2009-05-07,39.97,39.99,39.32,39.88,99100
2009-05-08,39.99,41.25,39.99,40.81,85900
2009-05-11,40.07,41.12,39.76,40.75,42700
2009-05-12,41.27,41.27,40.55,41.01,318800
2009-05-13,40.63,40.87,40.00,40.12,80900
2009-05-14,40.00,41.41,39.99,41.31,94000
2009-05-15,41.26,42.06,41.04,41.68,77500
2009-05-18,42.67,43.50,42.21,43.40,135500
2009-05-19,43.97,43.97,43.03,43.03,138300
2009-05-20,43.47,43.92,43.21,43.30,104500
2009-05-21,43.28,43.28,41.94,42.34,63300
2009-05-22,42.77,43.09,42.20,43.09,46200
2009-05-26,42.98,44.08,42.98,44.06,144700
2009-05-27,44.18,44.38,42.81,43.02,110300
2009-05-28,43.53,43.72,42.83,43.69,101500
2009-05-29,44.43,44.77,44.00,44.24,76800
2009-06-01,44.79,45.42,44.71,45.42,143400
2009-06-02,45.29,45.29,44.51,45.25,268200
2009-06-03,44.94,44.94,43.89,43.89,179500
2009-06-04,44.24,44.86,44.24,44.78,67000
2009-06-05,45.48,45.70,44.55,44.99,133600
2009-06-08,44.88,44.88,44.37,44.87,93200
2009-06-09,44.99,45.31,44.89,45.09,111400
2009-06-10,45.63,45.80,45.24,45.70,216600
2009-06-11,45.80,47.97,45.67,46.29,178400
2009-06-12,46.24,46.48,45.68,45.68,143200
2009-06-15,45.72,46.05,44.75,45.61,125700
2009-06-16,46.77,47.10,45.65,45.88,434100
2009-06-17,45.51,45.78,44.65,45.22,274600
2009-06-18,45.00,46.27,44.93,45.74,190100
2009-06-19,46.16,46.70,46.04,46.70,118400
2009-06-22,46.68,46.74,45.00,45.16,229500
2009-06-23,44.92,45.07,43.63,44.50,438600
2009-06-24,44.52,45.18,44.00,44.35,89100
2009-06-25,44.01,45.09,43.90,44.95,70400
2009-06-26,44.88,45.78,44.88,45.67,66500
2009-06-29,45.97,46.25,45.76,46.07,128800
2009-06-30,46.03,46.25,45.07,45.30,130200
2009-07-01,45.76,45.99,45.24,45.30,78300
2009-07-02,44.75,44.98,44.26,44.98,90200
2009-07-06,44.52,45.05,44.28,45.05,100100
2009-07-07,45.00,45.34,44.31,44.35,169400
