Date,Open,High,Low,Close,Adj Close,Volume
2008-12-01,87.660004,87.709999,82.110001,82.239998,63.784790,16389400
2008-12-02,83.660004,85.650002,82.400002,85.480003,66.297722,19067000
2008-12-03,83.559998,87.989998,83.290001,87.669998,67.996246,13416900
2008-12-04,86.220001,88.230003,83.889999,85.070000,65.979706,16779400
2008-12-05,83.779999,88.629997,82.400002,88.209999,68.415077,18271400
2008-12-08,90.580002,92.589996,90.000000,91.320000,70.827179,8221000
2008-12-09,90.550003,92.320000,89.160004,89.639999,69.524170,8625000
2008-12-10,90.570000,91.550003,89.180000,90.559998,70.237694,6652800
2008-12-11,89.720001,91.190002,87.540001,88.209999,68.415077,6413800
2008-12-12,85.750000,89.059998,85.339996,88.669998,68.771843,6698300
2008-12-15,89.139999,89.339996,86.440002,87.720001,68.035034,4971800
2008-12-16,88.580002,92.209999,88.389999,92.050003,71.393356,6841600
2008-12-17,91.029999,92.620003,90.250000,91.139999,70.687569,6487300
2008-12-18,91.580002,91.870003,88.379997,89.470001,69.392334,6720300
2008-12-19,89.970001,91.290001,89.000000,89.230003,69.206184,5039500
2008-12-22,89.570000,89.570000,86.360001,88.040001,68.283234,5311300
2008-12-23,88.500000,88.820000,86.690002,86.970001,67.453331,5117200
2008-12-24,86.720001,87.089996,86.230003,86.849998,67.876968,1731700
2008-12-26,87.500000,87.500000,86.730003,87.400002,68.306808,1537200
2008-12-29,87.470001,87.519997,85.809998,87.250000,68.189560,3312800
2008-12-30,87.779999,89.279999,87.320000,89.139999,69.666656,4783200
2008-12-31,89.349998,91.209999,89.099998,90.309998,70.581078,8350100
2009-01-02,90.750000,93.660004,90.099998,93.260002,72.886635,3876800
2009-01-05,92.830002,93.839996,92.080002,93.019997,72.699036,6354200
2009-01-06,93.919998,94.650002,92.900002,93.610001,73.160156,6392600
2009-01-07,92.110001,92.470001,90.419998,90.860001,71.010910,4366100
2009-01-08,90.339996,91.260002,89.879997,91.260002,71.323532,3967600
2009-01-09,91.389999,91.500000,89.019997,89.260002,69.760445,2805200
2009-01-12,89.029999,89.120003,86.629997,87.209999,68.158295,3357600
2009-01-13,86.930000,87.949997,86.419998,87.279999,68.212982,4676100
2009-01-14,85.839996,85.930000,83.900002,84.519997,66.055946,4951500
2009-01-15,84.300003,85.440002,81.930000,84.699997,66.196625,7358500
2009-01-16,86.050003,86.139999,83.250000,85.230003,66.610832,6183700
2009-01-20,84.430000,84.690002,80.660004,80.739998,63.101692,6411400
2009-01-21,82.199997,84.430000,80.680000,84.250000,65.844910,5428500
2009-01-22,82.620003,84.220001,81.360001,83.019997,64.883614,8406000
2009-01-23,81.099998,84.180000,80.760002,83.220001,65.039932,7720500
2009-01-26,83.809998,85.550003,83.000000,83.900002,65.571388,6167800
2009-01-27,84.309998,85.320000,83.760002,84.739998,66.227882,5010400
