Date,Open,High,Low,Close,Volume
2009-01-02,1578.87,1636.03,1571.98,1632.21,502.72M
2009-01-05,1621.48,1640.46,1604.63,1628.03,632.99M
2009-01-06,1642.37,1665.63,1636.25,1652.38,728.25M
2009-01-07,1621.63,1625.37,1588.20,1599.06,758.20M
2009-01-08,1590.25,1617.01,1584.28,1617.01,702.64M
2009-01-09,1617.05,1617.26,1569.87,1571.59,724.59M
2009-01-12,1573.45,1573.46,1528.00,1538.79,645.32M
2009-01-13,1537.42,1557.95,1527.47,1546.46,726.89M
2009-01-14,1521.71,1528.65,1485.26,1489.64,740.74M
2009-01-15,1489.46,1521.58,1456.72,1511.84,917.95M
2009-01-16,1532.47,1538.82,1490.35,1529.33,930.84M
2009-01-20,1520.76,1521.85,1440.86,1440.86,813.22M
2009-01-21,1466.40,1507.52,1444.90,1507.07,821.53M
2009-01-22,1470.85,1492.47,1444.08,1465.49,906.30M
2009-01-23,1440.78,1495.27,1434.08,1477.29,814.86M
2009-01-26,1479.98,1514.38,1470.81,1489.46,704.64M
2009-01-27,1494.12,1513.21,1488.81,1504.90,675.54M
2009-01-28,1530.48,1568.33,1530.03,1558.34,793.64M
2009-01-29,1537.47,1537.84,1505.70,1507.84,734.12M
2009-01-30,1519.46,1523.45,1472.51,1476.42,811.95M
2009-02-02,1460.85,1502.72,1460.51,1494.43,763.51M
2009-02-03,1499.59,1521.21,1479.42,1516.30,778.32M
2009-02-04,1517.19,1549.64,1508.87,1515.05,818.41M
2009-02-05,1498.59,1554.37,1495.52,1546.24,930.49M
2009-02-06,1547.00,1594.26,1545.85,1591.71,847.82M
2009-02-09,1590.74,1598.23,1576.10,1591.56,662.39M
2009-02-10,1578.02,1598.50,1520.56,1524.73,910.35M
2009-02-11,1531.58,1542.84,1509.35,1530.50,813.70M
2009-02-12,1510.17,1542.51,1495.34,1541.71,886.95M
2009-02-13,1539.72,1552.57,1530.05,1534.36,704.95M
2009-02-17,1489.12,1492.82,1467.79,1470.66,903.97M
2009-02-18,1480.65,1487.92,1454.46,1467.97,745.32M
2009-02-19,1478.55,1485.14,1442.53,1442.82,724.51M
2009-02-20,1427.03,1454.39,1416.96,1441.23,960.29M
2009-02-23,1452.58,1452.58,1386.68,1387.72,735.18M
2009-02-24,1399.37,1445.07,1395.11,1441.83,879.57M
2009-02-25,1428.76,1453.66,1404.54,1425.43,853.99M
2009-02-26,1436.85,1444.83,1391.47,1391.47,820.32M
2009-02-27,1376.56,1401.97,1372.42,1377.84,967.62M
2009-03-02,1356.13,1372.00,1322.13,1322.85,833.16M
2009-03-03,1341.42,1346.88,1312.98,1321.01,939.20M
2009-03-04,1340.38,1370.29,1333.88,1353.74,835.26M
2009-03-05,1332.38,1342.86,1298.33,1299.59,823.34M
2009-03-06,1310.59,1320.51,1268.54,1293.85,876.18M
2009-03-09,1284.84,1316.15,1265.52,1268.64,700.22M
2009-03-10,1288.95,1358.28,1288.95,1358.28,847.81M
2009-03-11,1364.80,1385.29,1352.60,1371.64,742.71M
2009-03-12,1367.78,1427.55,1355.05,1426.10,826.96M
2009-03-13,1427.03,1433.98,1408.26,1431.50,712.79M
2009-03-16,1445.27,1445.27,1402.48,1404.02,700.55M
2009-03-17,1409.67,1462.11,1405.32,1462.11,707.64M
2009-03-18,1454.44,1507.40,1448.67,1491.22,897.80M
2009-03-19,1509.06,1509.06,1475.49,1483.48,758.05M
2009-03-20,1488.15,1501.78,1448.78,1457.27,1.03B
2009-03-23,1491.26,1555.77,1482.15,1555.77,758.81M
2009-03-24,1535.68,1546.21,1515.63,1516.52,626.35M
2009-03-25,1527.59,1554.25,1487.94,1528.95,787.64M
2009-03-26,1549.40,1587.00,1545.21,1587.00,867.63M
2009-03-27,1564.12,1569.21,1543.43,1545.20,642.82M
2009-03-30,1516.79,1517.06,1484.98,1501.80,667.83M
2009-03-31,1518.70,1554.47,1518.01,1528.59,712.61M
2009-04-01,1504.87,1553.03,1498.54,1551.60,729.15M
2009-04-02,1579.97,1623.34,1576.82,1602.63,875.36M
2009-04-03,1609.05,1621.87,1593.05,1621.87,669.25M
2009-04-06,1602.24,1607.60,1580.65,1606.71,650.35M
2009-04-07,1585.58,1588.00,1559.46,1561.61,580.99M
2009-04-08,1576.93,1595.97,1567.22,1590.66,577.97M
2009-04-09,1618.83,1652.54,1616.25,1652.54,701.49M
2009-04-13,1641.61,1660.83,1630.54,1653.31,580.02M
2009-04-14,1637.50,1651.28,1618.04,1625.72,728.18M
2009-04-15,1613.56,1627.72,1599.11,1626.80,657.38M
2009-04-16,1645.52,1676.17,1628.08,1670.44,737.57M
2009-04-17,1665.60,1682.24,1653.84,1673.07,800.51M
2009-04-20,1641.35,1643.32,1606.86,1608.21,913.43M
2009-04-21,1599.03,1643.85,1598.93,1643.85,776.00M
2009-04-22,1630.14,1679.82,1624.73,1646.12,831.06M
2009-04-23,1651.47,1654.85,1625.88,1652.21,794.59M
2009-04-24,1666.43,1702.87,1657.49,1694.29,826.52M
2009-04-27,1672.87,1700.53,1670.49,1679.41,692.31M
2009-04-28,1668.26,1690.06,1661.40,1673.81,646.94M
2009-04-29,1688.66,1726.69,1687.29,1711.94,745.07M
2009-04-30,1732.47,1753.61,1710.07,1717.30,912.41M
2009-05-01,1719.29,1728.10,1703.52,1719.20,657.13M
2009-05-04,1733.71,1763.56,1729.31,1763.56,767.63M
2009-05-05,1757.26,1759.42,1735.37,1754.12,768.64M
2009-05-06,1768.69,1770.29,1730.97,1759.10,830.06M
2009-05-07,1772.10,1773.13,1702.54,1716.24,944.72M
2009-05-08,1733.50,1747.41,1711.01,1739.00,914.96M
2009-05-11,1713.65,1747.97,1705.87,1731.24,730.78M
2009-05-12,1742.86,1743.52,1695.87,1715.92,740.68M
2009-05-13,1696.80,1697.76,1664.19,1664.19,711.81M
2009-05-14,1672.48,1701.22,1667.94,1689.21,668.01M
2009-05-15,1687.49,1703.45,1676.56,1680.14,662.76M
2009-05-18,1696.82,1732.36,1689.55,1732.36,613.25M
2009-05-19,1727.00,1750.05,1719.92,1734.54,623.00M
2009-05-20,1743.60,1767.47,1722.32,1727.84,682.13M
2009-05-21,1709.83,1719.58,1677.77,1695.25,700.34M
2009-05-22,1702.06,1711.98,1682.24,1692.01,484.25M
2009-05-26,1677.72,1751.47,1677.54,1750.43,662.77M
2009-05-27,1745.56,1768.22,1728.96,1731.08,663.34M
2009-05-28,1744.23,1754.95,1714.48,1751.79,683.58M
2009-05-29,1756.26,1774.33,1742.99,1774.33,946.60M
2009-06-01,1796.09,1833.18,1792.80,1828.68,947.40M
2009-06-02,1821.22,1846.65,1815.83,1836.80,728.01M
2009-06-03,1825.60,1828.09,1806.51,1825.92,675.45M
2009-06-04,1829.84,1850.04,1825.62,1850.02,743.62M
2009-06-05,1864.02,1865.95,1834.63,1849.42,662.10M
2009-06-08,1836.87,1857.80,1818.59,1842.40,576.18M
2009-06-09,1850.48,1869.52,1846.26,1860.13,606.88M
2009-06-10,1872.01,1872.70,1827.61,1853.08,673.00M
2009-06-11,1854.75,1879.92,1854.75,1862.37,677.68M
2009-06-12,1852.43,1858.80,1833.39,1858.80,556.53M
2009-06-15,1837.94,1838.33,1803.07,1816.38,639.24M
2009-06-16,1825.20,1831.18,1795.55,1796.18,637.43M
2009-06-17,1799.22,1824.20,1785.34,1808.06,713.74M
2009-06-18,1809.04,1816.60,1795.74,1807.72,583.06M
2009-06-19,1824.99,1837.58,1817.07,1827.47,1.13B
2009-06-22,1809.53,1810.58,1765.85,1766.19,687.36M
2009-06-23,1771.42,1777.58,1753.78,1764.92,627.38M
2009-06-24,1780.88,1807.08,1780.25,1792.34,597.73M
2009-06-25,1783.19,1829.67,1779.18,1829.54,646.35M
2009-06-26,1819.16,1840.98,1816.84,1838.22,1.85B
2009-06-29,1842.09,1854.09,1825.03,1844.06,599.12M
2009-06-30,1845.47,1854.69,1824.95,1835.04,640.40M
2009-07-01,1846.12,1861.62,1843.79,1845.72,574.67M
2009-07-02,1823.69,1823.91,1795.95,1796.52,565.14M
2009-07-06,1783.50,1793.42,1770.11,1787.40,594.47M
2009-07-07,1787.44,1788.97,1745.38,1746.17,604.92M
2009-07-08,1756.00,1757.67,1727.05,1747.17,760.93M
2009-07-09,1756.97,1763.63,1747.44,1752.55,579.69M
2009-07-10,1744.61,1764.11,1738.26,1756.03,518.84M
2009-07-13,1761.03,1793.21,1736.95,1793.21,619.33M
2009-07-14,1790.70,1800.73,1782.85,1799.73,583.38M
2009-07-15,1827.61,1863.29,1824.31,1862.90,788.23M
2009-07-16,1856.05,1887.89,1854.70,1885.03,657.84M
2009-07-17,1880.31,1887.34,1873.81,1886.61,630.41M
2009-07-20,1896.99,1909.89,1890.00,1909.29,618.05M
2009-07-21,1917.39,1917.46,1892.17,1916.20,650.10M
2009-07-22,1908.83,1934.61,1907.25,1926.38,676.12M
2009-07-23,1924.96,1979.34,1924.77,1973.60,869.63M
2009-07-24,1943.23,1966.26,1937.64,1965.96,644.28M
2009-07-27,1964.62,1971.38,1946.95,1967.89,624.50M
2009-07-28,1957.26,1978.43,1947.89,1975.51,625.51M
2009-07-29,1965.32,1970.65,1953.36,1967.76,589.74M
2009-07-30,1986.21,2009.81,1980.08,1984.30,736.07M
2009-07-31,1980.72,1995.05,1977.65,1978.50,704.43M
2009-08-03,1998.35,2008.61,1985.88,2008.61,626.93M
2009-08-04,1996.38,2015.59,1993.74,2011.31,625.38M
2009-08-05,2014.45,2014.45,1980.68,1993.05,677.03M
2009-08-06,1999.21,2004.37,1967.68,1973.16,693.81M
2009-08-07,1997.00,2012.33,1984.50,2000.25,652.70M
2009-08-10,1991.44,1999.55,1979.39,1992.24,525.78M
2009-08-11,1985.06,1986.85,1962.08,1969.73,558.15M
2009-08-12,1970.95,2015.26,1970.25,1998.72,630.70M
2009-08-13,2009.27,2013.43,1986.87,2009.35,574.55M
2009-08-14,2005.79,2006.73,1969.68,1985.52,554.78M
2009-08-17,1949.23,1949.23,1929.64,1930.84,586.54M
2009-08-18,1940.55,1958.71,1935.33,1955.92,510.60M
2009-08-19,1933.39,1972.32,1931.91,1969.24,564.66M
2009-08-20,1967.57,1992.22,1965.69,1989.22,555.79M
2009-08-21,2000.15,2021.86,1994.33,2020.90,731.14M
2009-08-24,2026.11,2036.03,2012.00,2017.98,568.00M
2009-08-25,2025.59,2040.59,2019.17,2024.23,558.24M
2009-08-26,2021.30,2034.31,2013.52,2024.43,559.00M
2009-08-27,2021.31,2029.27,1993.03,2027.73,595.34M
2009-08-28,2050.53,2059.48,2017.42,2028.77,668.03M
2009-08-31,2011.14,2013.65,1997.53,2009.06,679.78M
2009-09-01,2001.30,2034.78,1965.48,1968.89,789.23M
2009-09-02,1960.07,1976.35,1958.51,1967.07,586.15M
2009-09-03,1975.85,1983.37,1958.04,1983.20,545.86M
2009-09-04,1986.98,2018.92,1982.05,2018.78,498.46M
2009-09-08,2034.74,2038.63,2023.03,2037.77,581.22M
